Supplementary Table 3. Differential abundance analysis results across meat and dairy groups for microbiome features.						
Feature Type/Library	Feature	Feature function/pathway/details	Fold Change	Group with higher relative abundace	Mann Whitney U test raw p-value	FDR 
K00813	aspartate aminotransferase [EC:2.6.1.1]	"Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Arginine biosynthesis | Metabolism; Amino acid metabolism; Arginine and proline metabolism | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Isoquinoline alkaloid biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Novobiocin biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"	0.802069429	Meat	0.188454834	0.751940949
K03291	"MFS transporter, SET family, sugar efflux transporter"	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.89733451	Meat	0.188454834	0.751940949
K00322	NAD(P) transhydrogenase [EC:1.6.1.1]	Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism	1.004716141	Meat	0.188454834	0.751940949
ENOG4112BYG		Function unknown	1.200686203	Meat	0.188581311	0.751940949
K03087	RNA polymerase nonessential primary-like sigma factor	Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Vibrio cholerae | Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Escherichia coli | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	0.891564071	Meat	0.188665603	0.751940949
ENOG410ZVTR	Family of unknown function (DUF490)	Function unknown	1.440826824	Meat	0.188665603	0.751940949
COG1679	Uncharacterized conserved protein	Function unknown	0.641791639	Meat	0.188716169	0.751940949
COG3264	Small-conductance mechanosensitive channel	"Cell envelope biogenesis, outer membrane"	0.840972019	Meat	0.188716169	0.751940949
COG0264	Translation elongation factor Ts	"Translation, ribosomal structure and biogenesis"	0.068212698	Meat	0.188749875	0.751940949
COG0481	Membrane GTPase LepA	"Cell envelope biogenesis, outer membrane"	0.076013453	Meat	0.188749875	0.751940949
COG0216	Protein chain release factor A	"Translation, ribosomal structure and biogenesis"	0.081321761	Meat	0.188749875	0.751940949
COG1368	"Phosphoglycerol transferase and related proteins, alkaline phosphatase superfamily"	"Cell envelope biogenesis, outer membrane"	0.08830843	Meat	0.188749875	0.751940949
PF03033	[Glycosyltransferase family 28 N-terminal domain]		0.092159686	Meat	0.188749875	0.751940949
COG0671	Membrane-associated phospholipid phosphatase	Lipid metabolism	0.114439304	Meat	0.188749875	0.751940949
PF07969	[Amidohydrolase family]		0.140756923	Meat	0.188749875	0.751940949
COG3359	Predicted exonuclease	"DNA replication, recombination and repair"	0.14184936	Meat	0.188749875	0.751940949
PF01420	[Type I restriction modification DNA specificity domain]		0.156689857	Meat	0.188749875	0.751940949
PF01116	[Fructose-bisphosphate aldolase class-II]		0.169008943	Meat	0.188749875	0.751940949
K04751	nitrogen regulatory protein P-II 1	Environmental Information Processing; Signal transduction; Two-component system	0.169539649	Meat	0.188749875	0.751940949
K06346	spoIIIJ-associated protein	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell growth	0.187532584	Meat	0.188749875	0.751940949
K02071	D-methionine transport system ATP-binding protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.205542942	Meat	0.188749875	0.751940949
COG1464	"ABC-type metal ion transport system, periplasmic component/surface antigen"	Inorganic ion transport and metabolism	0.212652664	Meat	0.188749875	0.751940949
PF00251	[Glycosyl hydrolases family 32 N-terminal domain]		0.213146798	Meat	0.188749875	0.751940949
COG0391	Uncharacterized conserved protein	Function unknown	0.312809667	Meat	0.188749875	0.751940949
COG3378	Predicted ATPase	General function prediction only	0.313126835	Meat	0.188749875	0.751940949
PF18074	[]		0.313844157	Meat	0.188749875	0.751940949
COG3037	Uncharacterized protein conserved in bacteria	Function unknown	0.319507671	Meat	0.188749875	0.751940949
K01998	branched-chain amino acid transport system permease protein	Environmental Information Processing; Membrane transport; ABC transporters | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.324662464	Meat	0.188749875	0.751940949
COG4716	Myosin-crossreactive antigen	Function unknown	0.326933399	Meat	0.188749875	0.751940949
ENOG410ZP7K	D repair protein RadA domain	Function unknown	0.366396298	Meat	0.188749875	0.751940949
K06956	uncharacterized protein	Not Included in Pathway or Brite; Poorly characterized; Function unknown	0.38875117	Meat	0.188749875	0.751940949
COG1666	Uncharacterized protein conserved in bacteria	Function unknown	0.398268013	Meat	0.188749875	0.751940949
K06191	glutaredoxin-like protein NrdH	Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing	0.567418885	Meat	0.188749875	0.751940949
ENOG410XQ9I	domain protein	Function unknown	0.63180566	Meat	0.188749875	0.751940949
PF08000	[Bacterial PH domain]		0.65864061	Meat	0.188749875	0.751940949
PF18952	[]		0.672370972	Meat	0.188749875	0.751940949
COG0702	Predicted nucleoside-diphosphate-sugar epimerases	"Carbohydrate transport and metabolism|Cell envelope biogenesis, outer membrane"	0.723682002	Meat	0.188749875	0.751940949
k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Enterobacterales.f_Enterobacteriaceae.g_Klebsiella.s_Unclassified.Klebsiella	NA	NA	0.748058684	Meat	0.188749875	0.751940949
ENOG410Z261		Function unknown	0.766142983	Meat	0.188749875	0.751940949
K03753	molybdopterin-guanine dinucleotide biosynthesis adapter protein	Not Included in Pathway or Brite; Unclassified: metabolism; Cofactor metabolism	0.792753868	Meat	0.188749875	0.751940949
COG3386	Gluconolactonase	Carbohydrate transport and metabolism	0.822644264	Meat	0.188749875	0.751940949
K10562	rhamnose transport system ATP-binding protein [EC:3.6.3.17]	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.874501588	Meat	0.188749875	0.751940949
PF07786	[Protein of unknown function (DUF1624)]		0.88185723	Meat	0.188749875	0.751940949
COG4878	Uncharacterized protein conserved in bacteria	Function unknown	1.060441153	Meat	0.188749875	0.751940949
ENOG4111TQC		Function unknown	1.042065354	Meat	0.188839556	0.751940949
K12684	serine protease autotransporter [EC:3.4.21.-]	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	1.211913673	Meat	0.189264669	0.751940949
K19585	multidrug efflux pump	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.79155815	Meat	0.1895585	0.751940949
ENOG410YI10		Function unknown	0.478399015	Meat	0.189579848	0.751940949
PF19557	[]		0.673174599	Meat	0.189579848	0.751940949
COG1655	Uncharacterized protein conserved in bacteria	Function unknown	1.048525707	Meat	0.189876204	0.751940949
ENOG4111ISZ		Function unknown	1.301202137	Meat	0.189876204	0.751940949
K03635	molybdopterin synthase catalytic subunit [EC:2.8.1.12]	"Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis | Genetic Information Processing; Folding, sorting and degradation; Sulfur relay system"	0.901293039	Meat	0.190294808	0.751940949
K05775	maltose operon periplasmic protein	Not Included in Pathway or Brite; Poorly characterized; General function prediction only	0.890734592	Meat	0.190982691	0.751940949
K09774	lipopolysaccharide export system protein LptA	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.910614995	Meat	0.190982691	0.751940949
ENOG4111N8E		Function unknown	1.566873894	Meat	0.191230855	0.751940949
PF12805	[FUSC-like inner membrane protein yccS]		0.866638651	Meat	0.191398152	0.751940949
K15125	filamentous hemagglutinin	Human Diseases; Infectious diseases: Bacterial; Pertussis | Brite Hierarchies; Protein families: signaling and cellular processes; Glycosaminoglycan binding proteins	0.956426955	Meat	0.191398152	0.751940949
ENOG4111TV5	Transcriptional regulator	Transcription	0.920140474	Meat	0.191520973	0.751940949
ENOG410YAI5		Function unknown	1.094183786	Meat	0.191520973	0.751940949
ENOG410XT8A	Transposase	"Replication, recombination and repair"	1.224154013	Meat	0.191520973	0.751940949
PF14888	[Penicillin-binding protein Tp47 domain C]		0.898965654	Meat	0.191609928	0.751940949
K05499	"LacI family transcriptional regulator, repressor for deo operon, udp, cdd, tsx, nupC, and nupG"	Brite Hierarchies; Protein families: genetic information processing; Transcription factors	0.931866052	Meat	0.191609928	0.751940949
K10231	kojibiose phosphorylase [EC:2.4.1.230]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	1.055177624	Meat	0.191609928	0.751940949
ENOG410ZRB7		Function unknown	0.144170445	Meat	0.192014443	0.751940949
ENOG410YB26	Protein of unknown function (DUF3575)	Function unknown	1.234846755	Meat	0.192145997	0.751940949
ENOG410YMJM	Outer membrane fimbrial	Cell wall/membrane/envelope biogenesis	1.114169679	Meat	0.192213935	0.751940949
K10763	DnaA-homolog protein	Brite Hierarchies; Protein families: genetic information processing; DNA replication proteins	1.08761942	Meat	0.192231604	0.751940949
PF05974	[Domain of unknown function (DUF892)]		1.069803117	Meat	0.192796554	0.751940949
ENOG410YI0P	Multidrug resistance protein MdtL	Defense mechanisms	0.986687756	Meat	0.193266632	0.751940949
K18325	"AraC family of transcriptional regulator, multidrug resistance transcriptional activator"	Brite Hierarchies; Protein families: genetic information processing; Transcription factors	0.791375375	Meat	0.193345012	0.751940949
ENOG4111HKV		Function unknown	0.922750205	Meat	0.193345012	0.751940949
ENOG410Y9V7	"TonB-linked outer membrane protein, SusC RagA family"	Inorganic ion transport and metabolism	0.924936289	Meat	0.19347853	0.751940949
ENOG411229C	Methyl-accepting chemotaxis	Function unknown	1.084237375	Meat	0.19347853	0.751940949
COG2840	Uncharacterized protein conserved in bacteria	Function unknown	0.822019423	Meat	0.19365076	0.751940949
K11734	aromatic amino acid transport protein AroP	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.897428564	Meat	0.19365076	0.751940949
ENOG410ZZ4C	glutathione s-transferase	"Posttranslational modification, protein turnover, chaperones"	0.68285125	Meat	0.193685587	0.751940949
ENOG4111YP9	phosphoesterase PA-phosphatase related protein	Function unknown	0.728383356	Meat	0.193685587	0.751940949
ENOG410XT2G		Function unknown	1.009063729	Meat	0.193774914	0.751940949
k_Bacteria.p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales.f_Coprobacillaceae.g_Catenibacterium.s_Catenibacterium.mitsuokai	NA	NA	0.787196574	Meat	0.193914952	0.751940949
COG2915	Uncharacterized protein involved in purine metabolism	General function prediction only	0.733038319	Meat	0.19395775	0.751940949
K10537	L-arabinose transport system substrate-binding protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.828655772	Meat	0.194196329	0.751940949
K19228	cationic peptide transport system permease protein	Environmental Information Processing; Membrane transport; ABC transporters | Human Diseases; Drug resistance: Antimicrobial; Cationic antimicrobial peptide (CAMP) resistance | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.914562193	Meat	0.194196329	0.751940949
K07665	"two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR"	Environmental Information Processing; Signal transduction; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	0.926880065	Meat	0.194196329	0.751940949
K01141	exodeoxyribonuclease I [EC:3.1.11.1]	Genetic Information Processing; Replication and repair; Mismatch repair | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	0.952238575	Meat	0.194196329	0.751940949
ENOG4111IU3	fimbrial assembly chaperone SthB	Function unknown	0.921071614	Meat	0.194362379	0.751940949
ENOG4111TZY		Function unknown	0.985730938	Meat	0.194375152	0.751940949
COG0729	Outer membrane protein	"Cell envelope biogenesis, outer membrane"	0.877041662	Meat	0.194502826	0.751940949
COG3765	Chain length determinant protein	"Cell envelope biogenesis, outer membrane"	0.930378357	Meat	0.194502826	0.751940949
ENOG410ZPYN	Histidine kinase	Signal transduction mechanisms	1.111714533	Meat	0.194502826	0.751940949
K00998	CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]	"Metabolism; Lipid metabolism; Glycerophospholipid metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"	0.750612085	Meat	0.194587915	0.751940949
K03673	thiol:disulfide interchange protein DsbA	Human Diseases; Drug resistance: Antimicrobial; Cationic antimicrobial peptide (CAMP) resistance | Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts	0.874762273	Meat	0.194587915	0.751940949
ENOG410XTWD	Histidine kinase	Signal transduction mechanisms	0.71078339	Meat	0.194638958	0.751940949
ENOG41120CV		Function unknown	0.845024704	Meat	0.194638958	0.751940949
K16066	3-hydroxy acid dehydrogenase / malonic semialdehyde reductase [EC:1.1.1.381 1.1.1.-]	"Metabolism; Nucleotide metabolism; Pyrimidine metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"	0.616068256	Meat	0.194664477	0.751940949
ENOG410ZAEE		Function unknown	0.704557004	Meat	0.194664477	0.751940949
K01940	argininosuccinate synthase [EC:6.3.4.5]	"Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism | Metabolism; Amino acid metabolism; Arginine biosynthesis | Human Diseases; Cardiovascular diseases; Fluid shear stress and atherosclerosis | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"	0.060176931	Meat	0.194672983	0.751940949
COG0370	Fe2+ transport system protein B	Inorganic ion transport and metabolism	0.066009552	Meat	0.194672983	0.751940949
PF08543	[Phosphomethylpyrimidine kinase]		0.071155038	Meat	0.194672983	0.751940949
PF09285	"[Elongation factor P, C-terminal]"		0.074033311	Meat	0.194672983	0.751940949
PF01132	[Elongation factor P (EF-P) OB domain]		0.081347529	Meat	0.194672983	0.751940949
COG0240	Glycerol-3-phosphate dehydrogenase	Energy production and conversion	0.087449555	Meat	0.194672983	0.751940949
PF01016	[Ribosomal L27 protein]		0.088628313	Meat	0.194672983	0.751940949
PF00815	[Histidinol dehydrogenase]		0.09027732	Meat	0.194672983	0.751940949
K02986	small subunit ribosomal protein S4	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	0.097163773	Meat	0.194672983	0.751940949
COG0272	NAD-dependent DNA ligase (contains BRCT domain type II)	"DNA replication, recombination and repair"	0.09822415	Meat	0.194672983	0.751940949
COG0552	Signal recognition particle GTPase	"('{} (path not available)', 'COG0552')"	0.102182878	Meat	0.194672983	0.751940949
PF13407	[Periplasmic binding protein domain]		0.106519914	Meat	0.194672983	0.751940949
COG0335	Ribosomal protein L19	"Translation, ribosomal structure and biogenesis"	0.117068012	Meat	0.194672983	0.751940949
PF02481	[DNA recombination-mediator protein A]		0.118116434	Meat	0.194672983	0.751940949
PF00692	[dUTPase]		0.120341785	Meat	0.194672983	0.751940949
PF04138	[GtrA-like protein]		0.126761376	Meat	0.194672983	0.751940949
K00995	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	Metabolism; Lipid metabolism; Glycerophospholipid metabolism	0.130363211	Meat	0.194672983	0.751940949
